user_id,item_id,rating
user_289,item_195,4.0
user_136,item_178,3.5
user_144,item_54,5.0
user_357,item_138,4.4
user_110,item_9,3.7
user_291,item_30,4.5
user_183,item_183,3.4
user_349,item_150,2.2
user_262,item_172,4.9
user_475,item_170,5.0
user_37,item_181,5.0
user_53,item_142,4.6
user_272,item_183,4.0
user_316,item_115,4.5
user_483,item_99,4.9
user_458,item_89,4.3
user_288,item_177,3.8
user_193,item_184,3.9
user_228,item_84,4.0
user_21,item_137,4.8
user_10,item_71,4.0
user_80,item_22,5.0
user_486,item_48,4.2
user_493,item_185,4.4
user_353,item_189,4.0
user_443,item_37,3.4
user_186,item_150,5.0
user_350,item_77,4.5
user_72,item_133,3.7
user_412,item_141,5.0
user_216,item_150,4.0
user_213,item_52,4.6
user_453,item_40,4.9
user_24,item_62,3.4
user_361,item_1,5.0
user_397,item_118,4.5
user_480,item_103,4.8
user_297,item_34,4.2
user_368,item_119,5.0
user_159,item_144,4.7
user_22,item_100,4.3
user_328,item_44,5.0
user_259,item_160,3.5
user_463,item_62,5.0
user_176,item_81,5.0
user_438,item_148,5.0
user_360,item_146,4.2
user_381,item_145,4.9
user_21,item_43,4.3
user_150,item_73,3.8
user_137,item_62,5.0
user_255,item_66,5.0
user_235,item_141,4.8
user_494,item_174,4.9
user_285,item_8,2.7
user_114,item_173,4.7
user_289,item_1,3.3
user_128,item_11,5.0
user_217,item_109,4.4
user_61,item_104,4.7
user_407,item_177,4.4
user_6,item_143,5.0
user_460,item_46,3.7
user_307,item_169,4.9
user_456,item_30,5.0
user_150,item_65,2.7
user_88,item_30,4.3
user_240,item_82,4.6
user_128,item_3,4.5
user_19,item_194,4.8
user_89,item_66,4.6
user_433,item_127,4.1
user_93,item_140,3.8
user_239,item_27,5.0
user_437,item_11,3.8
user_35,item_13,5.0
user_407,item_194,3.9
user_78,item_163,3.8
user_314,item_38,5.0
user_203,item_163,4.9
user_9,item_91,3.8
user_479,item_177,5.0
user_131,item_146,3.8
user_491,item_126,5.0
user_463,item_177,4.4
user_178,item_19,5.0
user_480,item_14,4.4
user_297,item_50,4.6
user_466,item_149,5.0
user_339,item_113,5.0
user_461,item_37,3.1
user_23,item_45,4.8
user_62,item_193,2.8
user_484,item_102,5.0
user_37,item_148,4.1
user_488,item_188,4.2
user_67,item_90,5.0
user_93,item_45,4.0
user_421,item_175,5.0
user_198,item_139,4.3
user_387,item_184,4.0
user_271,item_160,3.0
user_320,item_0,4.5
user_187,item_19,3.7
user_89,item_50,4.5
user_88,item_45,3.5
user_318,item_145,4.7
user_255,item_27,5.0
user_478,item_98,5.0
user_273,item_110,3.2
user_143,item_138,4.0
user_215,item_67,5.0
user_265,item_196,5.0
user_382,item_66,4.6
user_53,item_126,5.0
user_10,item_130,4.4
user_383,item_175,5.0
user_248,item_119,4.8
user_68,item_80,4.0
user_464,item_199,4.0
user_94,item_100,2.5
user_365,item_32,4.9
user_340,item_159,5.0
user_37,item_158,4.5
user_477,item_62,4.9
user_389,item_45,4.7
user_232,item_122,4.1
user_396,item_135,5.0
user_443,item_28,4.7
user_405,item_42,4.7
user_176,item_155,5.0
user_473,item_103,4.3
user_317,item_105,5.0
user_117,item_176,3.4
user_403,item_63,5.0
user_38,item_164,3.4
user_324,item_174,5.0
user_92,item_112,4.8
user_263,item_146,4.1
user_210,item_178,3.4
user_15,item_148,5.0
user_252,item_195,3.4
user_122,item_20,5.0
user_383,item_134,5.0
user_145,item_179,3.3
user_261,item_70,4.9
user_168,item_33,5.0
user_167,item_47,5.0
user_347,item_47,5.0
user_291,item_157,5.0
user_102,item_116,4.3
user_465,item_193,4.7
user_233,item_110,4.1
user_100,item_163,4.5
user_81,item_62,3.5
user_304,item_100,5.0
user_303,item_186,5.0
user_113,item_92,4.1
user_478,item_136,5.0
user_50,item_70,3.1
user_85,item_145,5.0
user_216,item_147,5.0
user_289,item_0,3.9
user_147,item_84,3.6
user_499,item_84,3.0
user_436,item_59,2.5
user_118,item_74,3.7
user_492,item_80,4.3
user_15,item_156,4.3
user_318,item_161,5.0
user_106,item_131,5.0
user_111,item_193,5.0
user_102,item_95,2.5
user_236,item_36,5.0
user_448,item_185,2.8
user_484,item_91,4.6
user_44,item_26,5.0
user_322,item_96,3.3
user_259,item_154,4.8
user_347,item_14,4.9
user_339,item_94,4.1
user_219,item_141,4.6
user_67,item_168,5.0
user_467,item_45,3.4
user_290,item_3,4.5
user_144,item_114,4.6
user_288,item_198,3.8
user_441,item_19,4.8
user_10,item_132,5.0
user_361,item_126,5.0
user_203,item_87,5.0
